model,noise_ratio,row_id,correct
llama-3.3-70b-versatile,0.8,2,1
llama-3.3-70b-versatile,0.8,3,1
llama-3.3-70b-versatile,0.8,4,1
llama-3.3-70b-versatile,0.8,5,1
llama-3.3-70b-versatile,0.8,6,1
llama-3.3-70b-versatile,0.8,7,1
llama-3.3-70b-versatile,0.8,8,1
llama-3.3-70b-versatile,0.8,9,1
llama-3.3-70b-versatile,0.8,10,1
llama-3.3-70b-versatile,0.8,11,1
llama-3.3-70b-versatile,0.8,12,1
llama-3.3-70b-versatile,0.8,13,1
llama-3.3-70b-versatile,0.8,14,1
llama-3.3-70b-versatile,0.8,15,1
llama-3.3-70b-versatile,0.8,16,1
llama-3.3-70b-versatile,0.8,17,1
llama-3.3-70b-versatile,0.8,18,1
llama-3.3-70b-versatile,0.8,19,1
llama-3.3-70b-versatile,0.8,20,1
llama-3.3-70b-versatile,0.8,21,1
llama-3.3-70b-versatile,0.8,22,1
llama-3.3-70b-versatile,0.8,23,1
llama-3.3-70b-versatile,0.8,24,1
llama-3.3-70b-versatile,0.8,25,1
llama-3.3-70b-versatile,0.8,26,1
llama-3.3-70b-versatile,0.8,27,1
llama-3.3-70b-versatile,0.8,28,1
llama-3.3-70b-versatile,0.8,29,1
